,handle,handle_name,followers
467,@yogeshs26030507 =128,@yogeshs26030507,128
468,@Surinder4Thakur =877,@Surinder4Thakur,877
469,@Monaliisingh =305,@Monaliisingh,305
470,@ray_maheshwari =1003,@ray_maheshwari,1003
471,@Maitray34754240 =8724,@Maitray34754240,8724
472,@Avinash03810101 =2399,@Avinash03810101,2399
473,@ukgCAFwWtMxDNJt =842,@ukgCAFwWtMxDNJt,842
474,@ilost_myjourney =3078,@ilost_myjourney,3078
475,@iRitikRaushan =457,@iRitikRaushan,457
476,@BhandHrushi =169,@BhandHrushi,169
477,@hamsabhartiyehe =1269,@hamsabhartiyehe,1269
478,@Yuvi6u =228,@Yuvi6u,228
479,@HrithikTripath7 =154,@HrithikTripath7,154
480,@BagriBablu =541,@BagriBablu,541
481,@shrikrishan9 =132,@shrikrishan9,132
482,@BhupalMahatha =2366,@BhupalMahatha,2366
483,@nitinpal3f =513,@nitinpal3f,513
484,@Harishy42801422 =1776,@Harishy42801422,1776
485,@AnandSingh16200 =686,@AnandSingh16200,686
486,@iamAsaw =733,@iamAsaw,733
487,@SachinY11879805 =341,@SachinY11879805,341
488,@loveangel5555 =809,@loveangel5555,809
489,@KalpanaDhuriya =99,@KalpanaDhuriya,99
490,@bitchcumasss =1514,@bitchcumasss,1514
491,@NeerajShri287 =507,@NeerajShri287,507
492,@miariraqia =114606,@miariraqia,114606
493,@ArjunRamSai2 =287,@ArjunRamSai2,287
494,@Rac_IYC =2497,@Rac_IYC,2497
495,@krasi1221 =25086,@krasi1221,25086
496,@Kkumar39267577 =1025,@Kkumar39267577,1025
497,@TWlTTER__Manish =1024,@TWlTTER__Manish,1024
498,@Nehapatel6666 =735,@Nehapatel6666,735
499,@KmSaravag =1353,@KmSaravag,1353
500,@Iamshuklavikas =1075,@Iamshuklavikas,1075
501,@ihaveadreamtc =4481,@ihaveadreamtc,4481
502,@DarcywithJunior =371,@DarcywithJunior,371
503,@pratikspande =866,@pratikspande,866
504,@h_kumpawat =563,@h_kumpawat,563
505,@tgdeals1 =356,@tgdeals1,356
506,@renewablepower5 =1803,@renewablepower5,1803
507,@Abhishe66005360 =383,@Abhishe66005360,383
508,@mr_anu_07 =6021,@mr_anu_07,6021
509,@sanjivraimba =785,@sanjivraimba,785
510,@I_AM_SHIVAA_ =1365,@I_AM_SHIVAA_,1365
511,@Deshraj94474182 =256,@Deshraj94474182,256
512,@M4nqpRB7AXU72mH =563,@M4nqpRB7AXU72mH,563
513,@mayanksledger =112,@mayanksledger,112
514,@SanjivYadav108 =3428,@SanjivYadav108,3428
515,@PawanKu19274421 =88,@PawanKu19274421,88
516,@Thevipinpandey =657,@Thevipinpandey,657
517,@prasadshrikhand =982,@prasadshrikhand,982
518,@AbuzarKhan72 =4554,@AbuzarKhan72,4554
519,@tuhinshuvra_das =11450,@tuhinshuvra_das,11450
520,@Buddhip54341646 =97,@Buddhip54341646,97
521,@Govinda86198140 =576,@Govinda86198140,576
522,@purohitmukeshRM =937,@purohitmukeshRM,937
523,@buntyya61077221 =579,@buntyya61077221,579
524,@deva__choudhary =469,@deva__choudhary,469
525,@Raushan_099 =10107,@Raushan_099,10107
526,@MjBarot2 =647,@MjBarot2,647
527,@Ujwal__ =5040,@Ujwal__,5040
528,@Deepak_KumarUK =355,@Deepak_KumarUK,355
529,@PranavKamli =308,@PranavKamli,308
530,@Ashutos20308550 =1376,@Ashutos20308550,1376
531,@ChhotiMishra_ =634,@ChhotiMishra_,634
532,@itsRaviTiwari =2418,@itsRaviTiwari,2418
533,@SNMSACHIN =996,@SNMSACHIN,996
